sku,product_type,group_id,name,url,price,in_stock,image_url,categories,keywords,brand
dpr_motiongate_day_pass,Product,grp_ticket_motiongate_day,Motiongate Dubai Day Pass,https://www.dubaiparksandresorts.com/en/motiongatetm-dubai,295.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Tickets|ThemeParks|MOTIONGATE_Dubai,day_pass|theme_park|dubai,DubaiParksAndResorts
dpr_legoland_day_pass,Product,grp_ticket_legoland_day,LEGOLAND Dubai Day Pass,https://www.dubaiparksandresorts.com/en/legoland-dubai,295.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Tickets|ThemeParks|LEGOLAND_Dubai,day_pass|family|dubai,DubaiParksAndResorts
dpr_legoland_waterpark_day_pass,Product,grp_ticket_legoland_waterpark_day,LEGOLAND Water Park Day Pass,https://www.dubaiparksandresorts.com/en/legoland-waterpark,295.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Tickets|WaterParks|LEGOLAND_Water_Park,day_pass|water_park|family,DubaiParksAndResorts
dpr_realmadridworld_day_pass,Product,grp_ticket_realmadridworld_day,Real Madrid World Day Pass,https://www.dubaiparksandresorts.com/en/realmadridworld,295.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Tickets|ThemeParks|Real_Madrid_World,day_pass|football|theme_park,DubaiParksAndResorts
dpr_neon_galaxy_entry,Product,grp_ticket_neon_galaxy,Neon Galaxy Indoor Playworld Entry,https://www.dubaiparksandresorts.com/en/neon-galaxy-indoor-playworld,150.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Tickets|IndoorAttractions|Neon_Galaxy,indoor_play|kids|family,DubaiParksAndResorts
dpr_riverland_entry,Product,grp_ticket_riverland,Riverland Dubai Entry,https://www.dubaiparksandresorts.com/en/riverland,20.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Tickets|Destination|Riverland_Dubai,entry|dining|family,DubaiParksAndResorts
dpr_annual_pass_standard,Product,grp_pass_annual_standard,Dubai Parks Annual Pass Standard,https://www.dubaiparksandresorts.com/en/annual-pass,1095.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Passes|AnnualPass|Standard,annual_pass|loyalty|multi_park,DubaiParksAndResorts
dpr_hotel_lapita,Product,grp_hotel_lapita,Lapita Hotel Stay,https://www.dubaiparksandresorts.com/en/hotel/lapita-hotel,1299.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Hotels|OnsiteHotels|Lapita_Hotel,resort|family_hotel|onsite,DubaiParksAndResorts
dpr_hotel_legoland,Product,grp_hotel_legoland,LEGOLAND Hotel Stay,https://www.dubaiparksandresorts.com/en/hotel/legolandr-hotel,1099.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Hotels|OnsiteHotels|LEGOLAND_Hotel,lego|family_hotel|onsite,DubaiParksAndResorts
dpr_hotel_rove_park,Product,grp_hotel_rove,Rove At The Park Stay,https://www.dubaiparksandresorts.com/en/hotel/rove-park,699.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Hotels|PartnerHotels|Rove_At_The_Park,budget_hotel|family_hotel|near_parks,DubaiParksAndResorts
dpr_trex_glamping_stay,Product,grp_hotel_trex_glamping,T-Rex Glamping Stay,https://www.dubaiparksandresorts.com/en/hotel/t-rex-glamping,899.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Hotels|UniqueStays|TRex_Glamping,glamping|themed_stay|family,DubaiParksAndResorts
dpr_motiongate_dragon_gliders,Product,grp_attr_motiongate_dragon_gliders,Dragon Gliders Experience,https://www.dubaiparksandresorts.com/en/motiongatetm-dubai/attraction/dragon-gliders,0.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Experiences|Attractions|MOTIONGATE_Dubai,ride|thrill|dreamworks,DubaiParksAndResorts
dpr_motiongate_john_wick_open_contract,Product,grp_attr_motiongate_john_wick,John Wick Open Contract Experience,https://www.dubaiparksandresorts.com/en/motiongatetm-dubai/attraction/john-wick-open-contract,0.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Experiences|Attractions|MOTIONGATE_Dubai,ride|immersive|lionsgate,DubaiParksAndResorts
dpr_legoland_submarine_adventure,Product,grp_attr_legoland_submarine,Submarine Adventure Experience,https://www.dubaiparksandresorts.com/en/legoland-dubai/attraction/submarine-adventure,0.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Experiences|Attractions|LEGOLAND_Dubai,ride|family|underwater_theme,DubaiParksAndResorts
dpr_legoland_red_rush,Product,grp_attr_legoland_waterpark_red_rush,Red Rush Experience,https://www.dubaiparksandresorts.com/en/legoland-waterpark/attraction/red-rush,0.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Experiences|Attractions|LEGOLAND_Water_Park,water_slide|family|adventure,DubaiParksAndResorts
dpr_realmadrid_hala_madrid_coaster,Product,grp_attr_realmadrid_hala_coaster,Hala Madrid Coaster Experience,https://www.dubaiparksandresorts.com/en/realmadridworld/attraction/hala-madrid-coaster,0.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Experiences|Attractions|Real_Madrid_World,coaster|football|thrill,DubaiParksAndResorts
dpr_realmadrid_bernabeu_experience,Product,grp_attr_realmadrid_bernabeu,Bernabeu Experience,https://www.dubaiparksandresorts.com/en/realmadridworld/attraction/bernabeu-experience,0.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Experiences|Attractions|Real_Madrid_World,interactive|football|museum_style,DubaiParksAndResorts
dpr_neon_galaxy_astro_arena,Product,grp_attr_neon_astro_arena,Astro Arena Experience,https://www.dubaiparksandresorts.com/en/neon-galaxy-indoor-playworld/attraction/astro-arena,0.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Experiences|Attractions|Neon_Galaxy,indoor_play|active_fun|kids,DubaiParksAndResorts
dpr_riverland_dino_mania,Product,grp_attr_riverland_dino_mania,Dino Mania Experience,https://www.dubaiparksandresorts.com/en/riverland/attraction/dino-mania,0.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Experiences|Attractions|Riverland_Dubai,dinosaurs|family|outdoor_fun,DubaiParksAndResorts
dpr_riverland_neon_galaxy,Product,grp_attr_riverland_neon_galaxy,Neon Galaxy at Riverland Experience,https://www.dubaiparksandresorts.com/en/riverland/attraction/neon-galaxy,0.00,true,https://www.dubaiparksandresorts.com/favicon.ico,Experiences|Attractions|Riverland_Dubai,indoor_play|kids|family,DubaiParksAndResorts
